2021-5,Value,Ticker
socialScore,7.69,AAPL
governanceScore,8.94,AAPL
totalEsg,16.92,AAPL
esgPerformance,LAG_PERF,AAPL
environmentScore,0.29,AAPL
socialScore,9.37,MSFT
governanceScore,4.83,MSFT
totalEsg,14.63,MSFT
esgPerformance,LAG_PERF,MSFT
environmentScore,0.42,MSFT
socialScore,17.31,TSLA
governanceScore,11.03,TSLA
totalEsg,31.29,TSLA
esgPerformance,LEAD_PERF,TSLA
environmentScore,2.95,TSLA
socialScore,12.52,AMZN
governanceScore,9.63,AMZN
totalEsg,27.28,AMZN
esgPerformance,,AMZN
environmentScore,5.13,AMZN
