Holder,Shares,Date Reported,% Out,Value,Ticker
"Vanguard Group, Inc. (The)",1255155794,2020-12-30,0.07519999999999999,166546622305,AAPL
Blackrock Inc.,1056461286,2020-12-30,0.0633,140181848039,AAPL
"Berkshire Hathaway, Inc",887135554,2020-12-30,0.053200000000000004,117714016660,AAPL
State Street Corporation,638166552,2020-12-30,0.0382,84678319784,AAPL
"FMR, LLC",358551697,2020-12-30,0.0215,47576224674,AAPL
"Geode Capital Management, LLC",247977084,2020-12-30,0.0149,32904079275,AAPL
Price (T.Rowe) Associates Inc,210474648,2020-12-30,0.0126,27927881043,AAPL
Northern Trust Corporation,205000080,2020-12-30,0.0123,27201460615,AAPL
Norges Bank Investment Management,167580974,2020-12-30,0.01,22236319440,AAPL
Bank Of New York Mellon Corporation,157791038,2020-12-30,0.0095,20937292832,AAPL
"Vanguard Group, Inc. (The)",614100233,2020-12-30,0.0815,136588173823,MSFT
Blackrock Inc.,515509179,2020-12-30,0.0684,114659551593,MSFT
State Street Corporation,299126371,2020-12-30,0.0397,66531687437,MSFT
"FMR, LLC",222257473,2020-12-30,0.029500000000000002,49434507144,MSFT
Price (T.Rowe) Associates Inc,177500157,2020-12-30,0.0236,39479584919,MSFT
"Geode Capital Management, LLC",117798162,2020-12-30,0.015600000000000001,26200667192,MSFT
Capital World Investors,110441260,2020-12-30,0.0147,24564345049,MSFT
Capital Research Global Investors,95506129,2020-12-30,0.0127,21242473212,MSFT
Capital International Investors,91995988,2020-12-30,0.012199999999999999,20461747650,MSFT
Northern Trust Corporation,91215100,2020-12-30,0.0121,20288062542,MSFT
"Vanguard Group, Inc. (The)",57814310,2020-12-30,0.06,40797824137,TSLA
Blackrock Inc.,50080395,2020-12-30,0.052000000000000005,35340232339,TSLA
Capital World Investors,46249648,2020-12-30,0.048,32636989104,TSLA
State Street Corporation,29550379,2020-12-30,0.030699999999999998,20852815948,TSLA
Baillie Gifford and Company,27304170,2020-12-30,0.028300000000000002,19267733643,TSLA
"FMR, LLC",15311711,2020-12-30,0.0159,10805015101,TSLA
Jennison Associates LLC,12121582,2020-12-30,0.0126,8553836769,TSLA
"Geode Capital Management, LLC",11567235,2020-12-30,0.012,8162650722,TSLA
JP Morgan Chase & Company,8468716,2020-12-30,0.0088,5976118819,TSLA
Northern Trust Corporation,8094441,2020-12-30,0.0084,5712004180,TSLA
"Vanguard Group, Inc. (The)",32435650,2020-12-30,0.0643,105640641554,AMZN
Blackrock Inc.,27524749,2020-12-30,0.0546,89646180760,AMZN
State Street Corporation,15954486,2020-12-30,0.0316,51962644087,AMZN
Price (T.Rowe) Associates Inc,15635541,2020-12-30,0.031,50923862549,AMZN
"FMR, LLC",15472297,2020-12-30,0.030699999999999998,50392188268,AMZN
"Geode Capital Management, LLC",6460626,2020-12-30,0.0128,21041806638,AMZN
Morgan Stanley,6252720,2020-12-30,0.0124,20364671349,AMZN
Northern Trust Corporation,4913827,2020-12-30,0.0097,16003990571,AMZN
Norges Bank Investment Management,4567893,2020-12-30,0.0091,14877307748,AMZN
Bank Of New York Mellon Corporation,3983095,2020-12-30,0.0079,12972661598,AMZN
